id,chapter
1,1 - Course Overview
2,2 - Programming Fundamentals
3,3 - Object-oriented Programming
4,4 - Scope Rules, Boolean Expressions and Branching Statements
5,5 - Loops, Nested Loops, Shortcut Operators, Subclass
6,6 - Arrays, Simple Sorting, Multidimensional Arrays
7,7 - Character String, File I/O
8,8 - Simple Event Driven Programming
9,9 - Recursion
10,10 - Abstract data type (ADT), Eclipse
11,11 - Project
12,12 - Final Exam
